# tup inventory — 20260831T125822Z
# root: /mnt/lfs
# excluded (not examined): proc sys dev run tmp sources tup-build
# format: <sha256 | symlink target>  <mode> <size> <path relative to root>
#
-> usr/bin                                                    lnk        - /bin
1f2488db0e0d7db704618e56fe616255f9cc371d77d743712880dfb00ea40b0b 644    11976 /boot/grub/arm64-efi/squash4.mod
a84ee90929f87c916ff948196293e2de59455f346826cbabc41780b4470aa031 644     4856 /boot/grub/arm64-efi/strtoull_test.mod
6d5921b89c39ee606385fe38453462aee6621fa08dffaf442d1895ccc38b6e28 644    39680 /boot/grub/arm64-efi/syslinuxcfg.mod
6ceeec718dd1bd435e5c405bde06866132c9d8e5dfe304c460b900ad23082086 644     5856 /boot/grub/arm64-efi/tar.mod
30455d73080bd006762ef3da4a131c576e8d1873b2745e743fc660e8676d4434 644       54 /boot/grub/arm64-efi/terminal.lst
294f1e1870013e8a8b2b202575855cde303f1c6dc28bca1ce6d315d3b4118690 644     9840 /boot/grub/arm64-efi/terminal.mod
428f71a917bae8da2a7c71329e73efec62515ac7cae4d1de1795af6bd50a5d83 644    21608 /boot/grub/arm64-efi/terminfo.mod
8a70800f6fecdb3abfd3076d136506fa9e695e78c4b149456318fb54243394dc 644    11400 /boot/grub/arm64-efi/test.mod
7daf41a206953a1aba6dc246cdb496823db016e01c338202d07db6388cbfbd5f 644     2680 /boot/grub/arm64-efi/test_blockarg.mod
c7875fbc1871a299167c65586031d60d3cab93fbd0126f4b6a03c3114696d486 644     5600 /boot/grub/arm64-efi/testload.mod
45d303eaad50dbfac1d4efc363b6cc1b23a781e89ee74f55deeb2bc0ac55630f 644     4560 /boot/grub/arm64-efi/testspeed.mod
fcb634f6090623d38a57e77936aacbe02a32b5745dac61dfe1f98cfd9c466c93 644     9776 /boot/grub/arm64-efi/tftp.mod
59959474fb0013720c9d34082b729649e625584f84094c7e43493876f86cbd42 644     8592 /boot/grub/arm64-efi/tga.mod
d0a0a8d34ef63717bc622c359de17f05c5f656e46dd667c170c5d344e9387dc3 644     3248 /boot/grub/arm64-efi/time.mod
1a744de2442cefcbd2d366d69af74d3059d12561edac3096ff7939c4451e51d9 644    11984 /boot/grub/arm64-efi/tpm.mod
fb5d717abd9be477b7cc728fda093acf21b7a3ed75f6ae62de5ab5028d268ea9 644     4896 /boot/grub/arm64-efi/tr.mod
9383a06e3e6a4fdfda7a36314aad7e0055c56bbfe416c5d6ec5a25fbfdbd0bdb 644     1968 /boot/grub/arm64-efi/trig.mod
970554e49ddad31a1c9df9a98c3bcc4e61412e8a5d970809576b9101e393ed17 644     2616 /boot/grub/arm64-efi/true.mod
7454bbe349b04ede1cdcd535fe014e5ff7cc00fafd414155d1bb5106eeb138bf 644    16328 /boot/grub/arm64-efi/udf.mod
45a11f8d94ad61fd541d3c94092f59c4cb3d4cd42ccdb74df6aeb263a1555e4b 644     9208 /boot/grub/arm64-efi/ufs1.mod
9fbcb697e11d2be8d65240e89c98bc955f460a3b05cae24bf7a2f459ababa3f6 644     9368 /boot/grub/arm64-efi/ufs1_be.mod
7842ffea7ed62e4535b763ab86654c22f620f82d174bf88d425e9c1cbd991fa0 644     9208 /boot/grub/arm64-efi/ufs2.mod
46af0f071ebf9e87b578047b6c70175e6d73e3cc86702624d2428ee06e10358e 644        8 /boot/grub/arm64-efi/video.lst
cc59ac886bc0a66e0757ec4640b3c047a8bbaa966c491570bf5701752a8c69d7 644    14352 /boot/grub/arm64-efi/video.mod
2fbcaf92415634ccc65533436c65adffc868d1bb94b4c4e772bf27c83f8de912 644    10368 /boot/grub/arm64-efi/video_colors.mod
ce288c38b0ee8239a179482ee387697517491d718e8c0d29135b6cadb007cd26 644    26264 /boot/grub/arm64-efi/video_fb.mod
2d8f39412d8f74500267f684a9c1582d65c2cbc0a53046eb79db1b4f400bb460 644     9080 /boot/grub/arm64-efi/videoinfo.mod
1a45bb64b432b17e754fcb53befbf68ee8b7c3250d659598394da33546a55127 644     7320 /boot/grub/arm64-efi/videotest.mod
5836d583de798b5b3f60bb87d7585d2f2206878e281d8c8070dbd58bf3982066 644     4856 /boot/grub/arm64-efi/videotest_checksum.mod
69a4ce97a989840e8f7c3a3328e974fa247e1d66a98af022114158ce51caa83b 644    14800 /boot/grub/arm64-efi/xen_boot.mod
50e66cffdf23301ab907f54e6dad5267f3a6c8c0704520b29d0e969712552456 644    15040 /boot/grub/arm64-efi/xfs.mod
7bd6b4fb201bc3430b5f3c0fc4924b41c23be3288e3660eb9b5f3af981b6f8b2 644     4184 /boot/grub/arm64-efi/xnu_uuid.mod
a6d55a576e0db6c5af2ef689b1a9588d5ccb1c0f4f7c3bf5e95a3ff29cc215f2 644     4592 /boot/grub/arm64-efi/xnu_uuid_test.mod
0207d19b95e01393b5c2473e8a8d43cdfedd3a2845eb39a5d36db812a7393e26 644    18784 /boot/grub/arm64-efi/xzio.mod
7b8cb2210f680240f3c46e75198046e5cc207662ea01d9b05e2fb610ae24d346 644    74920 /boot/grub/arm64-efi/zfs.mod
295a7bceac6802d3e1cd351ed9d3a9158d126d03636d5687f94ba981577959a7 644    10560 /boot/grub/arm64-efi/zfscrypt.mod
86c5cc6392d8cb7af892718fb1cda64242aff0b95a79189c5ed62fe69576015b 644    16976 /boot/grub/arm64-efi/zfsinfo.mod
c202c97a99d7d8336d4067ff63085a421629331998400f050630f3b0590c4b23 644    56984 /boot/grub/arm64-efi/zstd.mod
9b7d96ea0e8b3502a4744c42d3195184b525e120898e149a7778444ae9a0cec0 644      274 /boot/grub/grub.cfg
f64122858064885ef0733e42c6a3d2d3fd642671f714db0d974b880c0f087430 644     1024 /boot/grub/grubenv
84f1001a674af15cf66ff87d546437a1e39caa337e1f04220c9d9293d50aa8ec 644   127089 /boot/grub/locale/ast.mo
4bfe7bd7a92363e1f83ee60248a58c742a36a34c0808becccb2fd7a89be69f8d 644   127966 /boot/grub/locale/ca.mo
7d97f55ad6246c2400ca4654c5077293b14b2b4676dde0203ffa6952cde127eb 644   119228 /boot/grub/locale/da.mo
03c5fa6df0aa43efc75bc931fe53441279f0056fb0b09295010f3ebd21951486 644   150650 /boot/grub/locale/de.mo
e6e95aca75c6ef79018e36af0ecbb28128efc516806d8d7dff748b954f5d065f 644   226648 /boot/grub/locale/de@hebrew.mo
4662c421d4215c25c2f21fe6d00f6a10191e329ad6f056682b9ed20d6c0f813f 644   150657 /boot/grub/locale/de_CH.mo
9e7b4e7cda93302c2b7280baecb361418026d133eafece60acd6b540804ab882 644   188002 /boot/grub/locale/en@arabic.mo
a5f673528e468bc791c04b712e53daec14b2a545fb175f70ed875c5d0954dc02 644   177539 /boot/grub/locale/en@cyrillic.mo
98080728aa957227c7747729e505b84beb13780f3fb7501e30fa34eb2ff60cb0 644   177536 /boot/grub/locale/en@greek.mo
06c16702c05d6db938d141bdebd52f5766fbcebcd5ba506f6e5506e93394a95a 644   203723 /boot/grub/locale/en@hebrew.mo
6727305418969aefc67ce88e8730bba0d82324fd19ceca04d7a35036081bd110 644   157104 /boot/grub/locale/en@piglatin.mo
e2e67290caad42bab4fbdbaee64cbad56beef657f84e9010d61e3aa2191e2af1 644   138592 /boot/grub/locale/en@quot.mo
3b0484e8382be8bfa0a8bd9f55ef4620e24b88e7abc3f8f2cc063532ae6f91c3 644    43394 /boot/grub/locale/eo.mo
991f93ece4918f1e3c9ff522761db18bf590f30838222c3e6989a7a8b59cf110 644   130267 /boot/grub/locale/es.mo
199e862e93cf70638a5ff69cc5cbe1e95139aa6f3eccfc94c4fd1041d6fa0d5f 644   132479 /boot/grub/locale/fi.mo
7f95113129ffe9e6f42cd4c6496703bc2ea2104e61eabdeed55acc80b1fdb980 644   157703 /boot/grub/locale/fr.mo
a6626bee468483b0af01e16af9df4d712bc7a638c7134e3f528f5a419eb51200 644   103027 /boot/grub/locale/gl.mo
f02a3f3dcc36f958254b2caed150b3720c828757f80d1ae7e29c6f44ee586345 644    91753 /boot/grub/locale/he.mo
290f9091250ea68ad7704f1441c05b426fb2e4eadf898d5d90af5dcd4c4aa239 644   130252 /boot/grub/locale/hr.mo
1c4a9317fe2dc25bae165ef5e7134ed9bc568b749fb4ef6e5d3a8c8573c6a58b 644   137952 /boot/grub/locale/hu.mo
3c744ed2f1ddf9490b649c5c194059d494194bc4e519875f799988128043d92d 644    28229 /boot/grub/locale/id.mo
d357d4438ad8a3a4d153119510c0b192feb686f5f27a7a0a0ab4d41f67b32719 644   116936 /boot/grub/locale/it.mo
57edbea1bf365c7025f2533cb9e83eee42bac60abe850f9abd3e085b6e7d9fd9 644    45083 /boot/grub/locale/ja.mo
20cdf12df020e745adc0f01016ef120ae722f0eb88f3484b43bb5691e3ae6fb9 644   156882 /boot/grub/locale/ka.mo
fbe0d84f63d39b7eb6720db2d4d2747cecbce84e3fa680bb30f1cee5be016045 644   156029 /boot/grub/locale/ko.mo
d59be16be9fce6407cbf5495562ed921db7e6701bf05a59a6a7d7075ed86cb92 644     7774 /boot/grub/locale/lg.mo
3f62befddcccf94c72c21af49992ab1b5a8ce8bc1985583cdecf5f572641178c 644   100930 /boot/grub/locale/lt.mo
a13e7bd74dc56ad44e7456c902956e552df02f50bcf4e8fbdd132af810a11121 644   128143 /boot/grub/locale/nb.mo
796791471c2d9ea6a5d64750d0b89150046330d530234fe61926c3e3b2162fe0 644   126941 /boot/grub/locale/nl.mo
7f59205538f06c92193c5b758b56cdc43d8490ddc0d81a81b87228fdb8a751d5 644    61811 /boot/grub/locale/pa.mo
607339ef164a99d5c12add553b688b9ca7ec1607e19ddeaf077ae2ac65384e04 644   149584 /boot/grub/locale/pl.mo
1e16f246f13d4c1d696fabf7a5cfaaed138612d4d0a78fa10ffa2dfc5bef5ff2 644   131747 /boot/grub/locale/pt.mo
95a08467cfa514ef050213460448748d3483ab51c03f7b67817a9e10781f3f8d 644    86581 /boot/grub/locale/pt_BR.mo
fac3f10578379ef8a50673023510d572a65a8bf08a77bac1b12a9be4103df70a 644   158375 /boot/grub/locale/ro.mo
1e187a14a30bd09365ef2c0da0bfade6a5f07bb2067176018dfa210f9903cb65 644   170229 /boot/grub/locale/ru.mo
33d529d97a821303254e11e218d19fa477121aeded3f535d7209fff4cec33b99 644    93925 /boot/grub/locale/sl.mo
68be026ffec46d7f6a5096dd69f68709ac5919f92399e9a36fecf313e7a550bf 644   190584 /boot/grub/locale/sr.mo
966fe79baf90fe8d52982ba3fbea56cef6e6f9bc2fb31a63c2a1c8fec627e0ed 644   128361 /boot/grub/locale/sv.mo
3b786fecaed5df6785701303afbaee2da56501cae8a38657ff338b6cc68617ab 644    83570 /boot/grub/locale/tr.mo
cfe0b6e3b3762048359e0db5a0b29f662591abf040e73fe48e35d02e7e3440cc 644   199280 /boot/grub/locale/uk.mo
05f125b73a61de402ca7ea598c618b7b3cf8e3bad47f54153481280386e7a676 644   162663 /boot/grub/locale/vi.mo
2349075b16293c6d28554f5f757e544a75630f894961a382db63abcdb9f0e452 644   139130 /boot/grub/locale/zh_CN.mo
cb4dfd0f9951c864b92dffb488e9ff045d3600e825adf12bd65b13e25c49909d 644    30315 /boot/grub/locale/zh_TW.mo
bfcb6ab16aa428b826d923f0391f50073476180fb8186900ca0449bdeb850eef 755 14774784 /boot/vmlinuz-6.17.3-lfs-arm64-r12.4-42
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 600        0 /etc/.pwd.lock
15613ec775a410168e227dde4b4618c4bb95cdb1bd03043aca0b1b695e88b06d 644      160 /etc/default/useradd
461e21f3dc1a5f9f3fe7c4e425c93de09fe11e77f5be67b719c81c5b2202ce53 644      685 /etc/e2scrub.conf
37685020c16a5845ba120fca80dccc85d7ebb1bb2a446d7ff483f9edbe1562a2 644      723 /etc/fstab
00cc4a4c556f88d6ae1f620781e2e16c62f8402132267e6cd64836d557525291 644     3986 /etc/gprofng.rc
9f37661741e4ab3c43b1b49f7e3ec4d95600479b924d1b57810de5de97fc0551 644      292 /etc/group
a9cc6467b209a0137db46a5eed4e872fc6daa5154c70db1de8f12bb922acbd3a 644      306 /etc/group-
2912e8c23c17992ea835aaf744c3adb7f0b675db3f1b73e7596a4083b2e4a0fc 755     8718 /etc/grub.d/00_header
38ef66ebb9bf8091798d3b3ab7d00e8acd3159ea5e506e96fb3c44c9f77583ae 755    11577 /etc/grub.d/10_linux
a922ec43c457796be1a50e1d5156e387f750868de90a64f5e570fe3756830ab8 755    14341 /etc/grub.d/20_linux_xen
42e04f5bac1965535cb6bdb30c62bb199b1ba21d1ec6b22d0da159dfc925b8bb 755      786 /etc/grub.d/25_bli
95d945952966aafa460eef942b843445caa8b7fffa91eef2cd2dc6a749fd8455 755    12289 /etc/grub.d/30_os-prober
09b6f70999eb043f858a7eccac1f70bd1bddf00cdde4d6e67c417756f63ad389 755     1174 /etc/grub.d/30_uefi-firmware
894dd8e4ca1bb62e055f674f9390a39c4643ebdd1014702feef000c47e36a003 755      214 /etc/grub.d/40_custom
44b8dc291dc04537f5d9a8fec7f6ebb209fbfa3101d5b1085230ace35b7f6c31 755      215 /etc/grub.d/41_custom
cd72738c7dfd3b205e4e91528c0d25169bb3e8e6ebeec11c916662d8d0c3e47c 644      483 /etc/grub.d/README
76d274a6884c08b2e0c7c0d2881d2f61ca8bf9eed6b357c739ab15cc3e97b304 400      248 /etc/gshadow
90dd387d2c039942ae6dffeb20937ea3fbe40c1b29b79ea5605f88828c84b8fc 400      259 /etc/gshadow-
b529ede9dfc48fe5d74e224c662536c78cddbb34eb6552f17906c056c22914b8 644        4 /etc/hostname
74d4e0b11301b80cea18b8d667927ebca7c199e82090759744ba3e8ebbb90e31 644      197 /etc/hosts
-> rc.d/init.d                                                lnk        - /etc/init.d
f777752ca335e83b5277bb8ef6038506ca5333f0245ac156a4ab82f89d73d380 644      724 /etc/inittab
7169f754617cc5921565c6e0aa3b4e074b6e143cb49ee617f3235ea856385527 644      840 /etc/inputrc
a329cf66ba404efd1160bbf632b8834a36184ed531e6de884497542f2d2a2b2e 644     8751 /etc/ld.so.cache
174aa7ad122e99d181a1f37175033d933c22b873867dbd06cc6822ea08d77fb6 644      110 /etc/ld.so.conf
76c290588838b47d293161f910834b42c07bd4b7a6f04b00cbc3deccb0db536d 644       38 /etc/lfs-release
ade6188c52cab76a88ce0c829c825f2e20726b79f527689aefab662289674810 644      827 /etc/limits
-> /usr/share/zoneinfo/UTC                                    lnk        - /etc/localtime
516ff71e65a80125307cabd2e1d99179232f600a7938ebacd36b8b0c0af18d58 644     1999 /etc/login.access
fd27b8a3c4bd65cdad9f1fb60c75a1a047a79e029c2db1273f1bd133b21b0ee3 644    13476 /etc/login.defs
779f113a65cf69770b430a68a22f34be87364359d4e2944b9212a8add325e04f 644       96 /etc/lsb-release
61fac4ad9ec703faed0fb28c1fcffefcf4e9f57cf0c675491c75d8a5f67ce38b 644     5223 /etc/man_db.conf
a92d8f919a955502436134939f07ced27e95759913498fe0c3f4586496befd63 644      794 /etc/mke2fs.conf
794522d42e7d34eeb63dcfca4c615ced9cdfd88ab2f15e1d8da5a2e7406398cd 644      220 /etc/modprobe.d/usb.conf
-> /proc/self/mounts                                          lnk        - /etc/mtab
23c3ea1ec20fbffe74676c4bad70c256dc42603ad1bb4c0b4705757d27532e23 644      188 /etc/nsswitch.conf
548bb001171e104e42a50f8451871b19834db579e98392cc2d8b1fbcb381093a 644      150 /etc/os-release
c66a5d462e12b18458b7bdf2b6781ea51dbd58380ad7e9ac5ff2b95be94ac981 644      322 /etc/passwd
73b3da073fa95bcdce0cd3071bc8d3f2ab9cdb79acf6bee9e4ce46c650a8cd5c 644      363 /etc/passwd-
fb7d5f9aa1326aa088b03c71dfa578d9b4aa537224a17ec17929e45b440b1e61 644       68 /etc/pip.conf
fba61961329ccb901f9a94dd82c2d879a91c6a94daed1aa2c86559b7cfc29bdc 644      217 /etc/profile
4e5305d4f7b92fd90e6b5036d8f55a07f1a02c8e54091701d7bbe145e4f011e6 644     7818 /etc/protocols
75bb21fc49b1f404d871455c5c71101c32e8a7834888c5d029c3f05a014c7bd6 754     4491 /etc/rc.d/init.d/checkfs
69ea21608a69425a03b05a695e549169e3daf17186555fda37ece438b35d8a2a 754     3144 /etc/rc.d/init.d/cleanfs
d149a8b21fd85cb0e4526386554643b0e494210bf4d9937fcdd08d6e95f24374 754     3298 /etc/rc.d/init.d/console
d26d347053b6924fad07f4a02f1630c99e0f7e3b926cb0beb03b9989501ea408 754     1014 /etc/rc.d/init.d/halt
47532817ea43a7ff61a99d8c0a4b94424ce54172a7a99a83c07061ca6bbb9893 754     1639 /etc/rc.d/init.d/localnet
33e35f5e3708e44fe8035e7f157207ca38f97527ea6d6bf48c3b278868bdad23 754     2133 /etc/rc.d/init.d/modules
f44caafdd3b1e336d172cb78e623e1b636a5fa2552f79eb3801470351a5cc17d 754     2579 /etc/rc.d/init.d/mountfs
e1c4b3f62b998ac2ca15d308c61a86801e80dc98e1e208db70a16e3b540db029 754     2968 /etc/rc.d/init.d/mountvirtfs
7874fd496b2da53c490c85c0e7293a655b34627bf963300fb37f5b033ad1430f 754     2448 /etc/rc.d/init.d/network
69dcdbc12e2b5076b31a5efa09d5536c6677ce63d67051ca71c03a4b6ebbfd07 754     6377 /etc/rc.d/init.d/rc
7a52fe35080aaf5210b8d7c0ed04c9f77c6059df34c9c525313457a8ebb08864 754     1101 /etc/rc.d/init.d/reboot
612580a6a11f380a3e6fd69d83fce3bf1a5f2cbfe70850f62f036c431090406c 754     1541 /etc/rc.d/init.d/sendsignals
c95a2ce4bd40bf4895d57568b8332bc26d10c812c58fda2d2048611fa11b25b9 754     1388 /etc/rc.d/init.d/setclock
5bdfcf1e072a9a667a4a150c99a72b39fb4027f6d6552cdb5b75e3a226d95397 754     1398 /etc/rc.d/init.d/swap
09715ae7828af61b34ddb43178fc1e414ac3441ec414898c53fc62b8b8636d6e 754     1314 /etc/rc.d/init.d/sysctl
5c44fd324cf263df8907376b922e1a8b8e633b9a87c280c76c52c52f9c5785f8 754     1744 /etc/rc.d/init.d/sysklogd
7ae63c89fa09156a0b088a61ab7367d6eb894a765a665107c81b04877dd640cf 754     1440 /etc/rc.d/init.d/template
b7ef65afddb42dc7d07b76e0eb5233a5c061c3a7b5ac68399a32efdaa8eb93f7 754     2314 /etc/rc.d/init.d/udev
5b457191e4c6d69fd22d8d10c75f344b196a615ce8cc1ff58414b24b1b147f75 754     1975 /etc/rc.d/init.d/udev_retry
-> ../init.d/network                                          lnk        - /etc/rc.d/rc0.d/K80network
-> ../init.d/sysklogd                                         lnk        - /etc/rc.d/rc0.d/K90sysklogd
-> ../init.d/sendsignals                                      lnk        - /etc/rc.d/rc0.d/K92sendsignals
-> ../init.d/swap                                             lnk        - /etc/rc.d/rc0.d/K94swap
-> ../init.d/mountfs                                          lnk        - /etc/rc.d/rc0.d/K96mountfs
-> ../init.d/localnet                                         lnk        - /etc/rc.d/rc0.d/K98localnet
-> ../init.d/halt                                             lnk        - /etc/rc.d/rc0.d/S99halt
-> ../init.d/network                                          lnk        - /etc/rc.d/rc1.d/K80network
-> ../init.d/sysklogd                                         lnk        - /etc/rc.d/rc1.d/K90sysklogd
-> ../init.d/network                                          lnk        - /etc/rc.d/rc2.d/S10network
-> ../init.d/sysklogd                                         lnk        - /etc/rc.d/rc2.d/S20sysklogd
-> ../init.d/sysklogd                                         lnk        - /etc/rc.d/rc3.d/S10sysklogd
-> ../init.d/network                                          lnk        - /etc/rc.d/rc3.d/S20network
-> ../init.d/sysklogd                                         lnk        - /etc/rc.d/rc4.d/S10sysklogd
-> ../init.d/network                                          lnk        - /etc/rc.d/rc4.d/S20network
-> ../init.d/sysklogd                                         lnk        - /etc/rc.d/rc5.d/S10sysklogd
-> ../init.d/network                                          lnk        - /etc/rc.d/rc5.d/S20network
-> ../init.d/network                                          lnk        - /etc/rc.d/rc6.d/K80network
-> ../init.d/sysklogd                                         lnk        - /etc/rc.d/rc6.d/K90sysklogd
-> ../init.d/sendsignals                                      lnk        - /etc/rc.d/rc6.d/K92sendsignals
-> ../init.d/swap                                             lnk        - /etc/rc.d/rc6.d/K94swap
-> ../init.d/mountfs                                          lnk        - /etc/rc.d/rc6.d/K96mountfs
-> ../init.d/localnet                                         lnk        - /etc/rc.d/rc6.d/K98localnet
-> ../init.d/reboot                                           lnk        - /etc/rc.d/rc6.d/S99reboot
-> ../init.d/mountvirtfs                                      lnk        - /etc/rc.d/rcS.d/S00mountvirtfs
-> ../init.d/modules                                          lnk        - /etc/rc.d/rcS.d/S05modules
-> ../init.d/localnet                                         lnk        - /etc/rc.d/rcS.d/S08localnet
-> ../init.d/udev                                             lnk        - /etc/rc.d/rcS.d/S10udev
-> ../init.d/swap                                             lnk        - /etc/rc.d/rcS.d/S20swap
-> ../init.d/checkfs                                          lnk        - /etc/rc.d/rcS.d/S30checkfs
-> ../init.d/mountfs                                          lnk        - /etc/rc.d/rcS.d/S40mountfs
-> ../init.d/cleanfs                                          lnk        - /etc/rc.d/rcS.d/S45cleanfs
-> ../init.d/udev_retry                                       lnk        - /etc/rc.d/rcS.d/S50udev_retry
-> ../init.d/console                                          lnk        - /etc/rc.d/rcS.d/S70console
-> ../init.d/sysctl                                           lnk        - /etc/rc.d/rcS.d/S90sysctl
8845ce658bdc2b3c40cce217d5f09129f769526e61ba8c21abd3c2343943703b 644       91 /etc/resolv.conf
3b24a975dcde688434258566813a83ce256a4c73efd7a8a9c3998327b0b4de68 644     1634 /etc/rpc
810489284887a2e22adf4e5ebfdc33c8932430d7631a304456904f7d705a28dc 644   562329 /etc/services
2380b5336f29e69b9c8d705f969bd496c8260eacddaf1ddb0bfc920630b276dc 400      238 /etc/shadow
da7c91f161f17bda2ce0d1e28533fcbe2fe133fea55ec6e30b73abb56cd99e58 400      266 /etc/shadow-
1db1de0b837e46cac525afad0b39b41e730114294b209a023f2e7100a3efd2f7 644       58 /etc/shells
-> /etc/ssl/certs/ca-bundle.crt                               lnk        - /etc/ssl/cert.pem
f66dff1bdf8f96060b8177976f8b7d9254bc89bc4db933d769f7384d28480bc9 644   188900 /etc/ssl/certs/ca-bundle.crt
eef1b05c716569bce8fce51256c5cb7aa8614d78e4c418de65f857416181a442 644       95 /etc/ssl/certs/ca-bundle.crt.sha256
f1c1803d13d1d0b755b13b23c28bd4e20e07baf9f2b744c9337ba5866aa0ec3b 644      412 /etc/ssl/ct_log_list.cnf
f1c1803d13d1d0b755b13b23c28bd4e20e07baf9f2b744c9337ba5866aa0ec3b 644      412 /etc/ssl/ct_log_list.cnf.dist
68dc4fbb6c2cdd94bdf7e8dc24659d6d890ce7e71f8200282d7555ad227265fd 755    13398 /etc/ssl/misc/CA.pl
-> tsget.pl                                                   lnk        - /etc/ssl/misc/tsget
91ee7c023d58b650fd8b19ded6164f367fe5340321ec638c491f365f2c0c729c 755     6746 /etc/ssl/misc/tsget.pl
a65a2cb9f4ee8ffdc7ef4f0ac600c0bdafb95b7b1ab457188ac610a62f5ad6b3 644    12411 /etc/ssl/openssl.cnf
a65a2cb9f4ee8ffdc7ef4f0ac600c0bdafb95b7b1ab457188ac610a62f5ad6b3 644    12411 /etc/ssl/openssl.cnf.dist
a6e1362c2622fc1e3ae618098e1d6dd7b997936cd6f5246d0ae5d413b3c3498f 644      189 /etc/sysconfig/clock
2b67a05507267e3e1d89295544a400816a7c428d689179a223184e0e558fde41 644      182 /etc/sysconfig/console
4bec98844db58baceed74a1e1f721a85185196858c3c13e57ec393a60a57c788 644     1267 /etc/sysconfig/createfiles
8f0f76d1e1e194db5defd024af283c89056a0452e3b2616f7504e4b73ebd74d9 644      103 /etc/sysconfig/ifconfig.eth0
f1157df7d2f53d8c955ddf3008e1289aaad2de207bdbb9cd984bac957ac6ed90 644      569 /etc/sysconfig/modules
c0d825bee9c5e58e12474ddf5954d50831029e32a2b890c822ceb335efc81329 644     2620 /etc/sysconfig/rc.site
9b1628a85e25931fc05151d49abfb4b19151f94979fd45bd8a178121d71b9cd9 644      679 /etc/sysconfig/udev_retry
a021db3872a072c52970823dd72280681d1f3a362ce320a84fac0bdf3e1266f8 644      293 /etc/syslog.conf
fd0a6327a9b686a74031a486a78e8c2d045cf8d133568e180a9b961e0c817b9c 444 13228392 /etc/udev/hwdb.bin
3c4782d37bd8f4ab9a07455884fc48b0236dbe4512b9b165cb5cfac0b982acde 644      332 /etc/udev/rules.d/55-lfs.rules
72bcc7dc13cdacc3ec82832c653e1fc5ae0ca37ead4e3785550f0ce2a6558f45 644      305 /etc/udev/udev.conf
f981c420e4b922c09c3e89efbd10572657889a190ee223dc7186d846d25c7733 644      286 /etc/vimrc
0fc794a9826011c88b118c5ff4e30dfcbebd73518e64b0cda7aaec3ad7e578bd 644      681 /etc/xattr.conf
-> usr/lib                                                    lnk        - /lib
778e712cf30c42af963c205f8d23ca39ec6e7dc4e63b635b41da63c05aa31d1f 644       17 /mnt/lfs/sources/log/driver.state
0e2e7f68f5ba36766fb526dd94645118e4c51400ac7857ff7bc95320213b2815 644      201 /mnt/lfs/sources/log/prove-01-lean.log
2c5510c602ab183475a79445ce4359934e38cb9b9f3bb4da896c2d3474acf140 644      177 /mnt/lfs/sources/log/prove-02-ocaml.log
4199cb6e4d6bbe796164ca6b9e052494005422b20322da0a16503369be91e448 644      174 /mnt/lfs/sources/log/receipts.jsonl
8b28515ffffc5c0fe2807d8ae3735b00b324d9b7ce807dd63ff6ac8922fbce7e 644     9160 /opt/lean-4.33.1/LICENSE
00cce2ac071f63d470a287438a7c6bbc4334706be244384e9af4fc9ead11cdce 644    81854 /opt/lean-4.33.1/LICENSES
9ea94a260380829735e3dc3b77a62eea078bb88edfe45f287193e9ae1afd5e0e 755  1074760 /opt/lean-4.33.1/bin/cadical
72c53a0c3bb630790ceefa62095a6e8cfe9ee6a20e5cff55670ccb826bb3c527 755   111088 /opt/lean-4.33.1/bin/clang
8229bc302b0b7d0e7679e28cc2b830c5aec995ffe5714833503360252f1490ba 755    19192 /opt/lean-4.33.1/bin/lake
bb55452f097b573b255d93484aefcfea592c2a84f6715e0bfa67f644a477dadd 755  5571352 /opt/lean-4.33.1/bin/ld.lld
79fb1d26fa5a39385d59fdc48a711a14b0710ca6480271acce99b4d177cea085 755    13824 /opt/lean-4.33.1/bin/lean
8bf86e7da29d965546a4305ff4cbc54ec758c82818988fb862a5515c7a05f0f1 755    47000 /opt/lean-4.33.1/bin/leanc
ff0394605f58d1a1625c786083eb03c7cf7e7401b7c1b557e6724cc15543826e 755    60976 /opt/lean-4.33.1/bin/leanchecker
173e503dfc978344043c9956db4d8872070896bcd1dd584ba184727466dd13e2 755   244168 /opt/lean-4.33.1/bin/leanir
07c96082b95fce057ed9656cc80da50477d596250973cfdd414f74e7631eb56d 755      839 /opt/lean-4.33.1/bin/leanmake
5a7aaf4a60170490640a4463d31f12515f8de00aa9b66a124b1716768fbd62bc 755  2563160 /opt/lean-4.33.1/bin/leantar
9bb4036edd6c6f3ffb58dd02157bbc71ab2b6dffa22643405f88537c463a8393 755    68656 /opt/lean-4.33.1/bin/llvm-ar
bde8d423099e3bba501018bdde141cf2edea549ba528733d43dc534694181935 644     5890 /opt/lean-4.33.1/include/clang/__float_float.h
